site_id,round,plot_id,bee_date,julian.date,bee_season_type,area,cover_type,bare_perc,grass_perc,forb_perc,grass_forb_perc,grass_h,forb_h,floral_perc,bombus_floral_perc,grass_forb_floral_perc,flood_perc,dry_root_perc,bryo_perc,bare_flood_dry_bryo_perc,bare_dry_bryo_perc,floral_richness,bombus_floral_richness,floral_abun,bombus_floral_abun,bombus_floral_abun_nv,nest_searching_queens,workers,forage_vaco,num_burrows,num_active_burrows,num_inactive_burrows,prop_inactive_burrows,num_active_dm,num_dm_size,prop_dm_size,num_inactive_dm
chong_96,2025_r1,p2,2025-04-09,99,nestsearching,delta_3,grass,14.333333333333334,41.375,13.75,55.125,34,14,0.041666666666666664,0.041666666666666664,55.166666666666664,0,0,0,14.333333333333334,14.333333333333334,2,2,1,1,1,1,0,0,0,0,0,NA,0,0,NA,0
chong_96,2025_r1,d,2025-04-09,99,nestsearching,delta_3,grass,6.5,50.666666666666664,17.333333333333332,68,64.83333333333333,25.333333333333332,0,0,68,0,23.25,0,29.75,29.75,3,3,2,2,2,0,0,0,1,0,0,0,0,0,0,0
chong_96,2025_r2,p1,2025-05-01,121,nestsearching,delta_3,grass,18.333333333333332,30.916666666666668,23.791666666666668,54.708333333333336,29.583333333333332,22.083333333333332,12.5,12.5,67.20833333333334,0,1.6666666666666667,0,20,20,1,1,4,4,0,1,0,1,1,1,0,0,0,0,0,0
chong_96,2025_r2,p2,2025-05-01,121,nestsearching,delta_3,grass,1.25,56.083333333333336,4.416666666666667,60.5,48.416666666666664,13.083333333333334,5.916666666666667,5.916666666666667,66.41666666666667,0,0,0,1.25,1.25,3,3,4,4,1,1,1,0,0,0,0,NA,0,0,NA,0
chong_96,2025_r2,d,2025-05-01,121,nestsearching,delta_3,grass,11.666666666666666,39.166666666666664,35,74.16666666666666,42.75,35,0,0,74.16666666666666,0,15,0,26.666666666666664,26.666666666666664,4,3,1,1,1,2,0,0,1,0,0,0,0,0,0,0
chong_96,2025_r3,p1,2025-06-27,178,worker,delta_3,grass,13.583333333333334,30.333333333333332,19.25,49.58333333333333,38.5,16.75,0.125,0.125,49.70833333333333,0,6.416666666666667,0,20,20,1,1,3,3,3,0,0,0,1,1,0,0,0,0,0,0
chong_96,2025_r3,p2,2025-06-27,178,worker,delta_3,grass,16.666666666666668,32.125,5.833333333333333,37.958333333333336,34.333333333333336,11.666666666666666,0,0,37.958333333333336,0,12.083333333333334,0,28.75,28.75,2,2,2,2,2,0,0,0,0,0,0,NA,0,0,NA,0
chong_96,2025_r3,d,2025-06-27,178,worker,delta_3,grass,19.166666666666668,33.75,25.416666666666668,59.16666666666667,73.08333333333333,50.583333333333336,0.3333333333333333,0.3333333333333333,59.50000000000001,0,20.416666666666668,0,39.583333333333336,39.583333333333336,7,6,4,4,4,0,3,0,1,0,0,0,0,0,0,0
bks_96,2024_r1,p1,2024-04-18,109,nestsearching,delta_3,bare,49.583333333333336,2.6666666666666665,0.5833333333333334,3.25,3.75,0.5,2.5833333333333335,2.5833333333333335,5.833333333333334,5.833333333333333,0,0,55.41666666666667,49.583333333333336,1,1,3,3,0,0,1,1,0,0,0,NA,0,0,NA,0
bks_96,2024_r1,p2,2024-04-18,109,nestsearching,delta_3,bare,45.833333333333336,5.583333333333333,2.5833333333333335,8.166666666666666,5.833333333333333,2.9166666666666665,3.75,3.75,11.916666666666666,0,1.6666666666666667,0,47.5,47.5,2,2,3,3,0,0,0,0,0,0,0,NA,0,0,NA,0
bks_96,2024_r1,d,2024-04-18,109,nestsearching,delta_3,bare,40,29.166666666666668,16.166666666666668,45.333333333333336,10.833333333333334,17.083333333333332,4.166666666666667,2.9166666666666665,48.25,0,10.416666666666666,0,50.416666666666664,50.416666666666664,4,3,3,3,3,0,0,0,15,0,0,0,0,0,0,0
bks_96,2024_r2,p1,2024-05-15,136,worker,delta_3,bare,27.75,0.5833333333333334,1.5,2.0833333333333335,3.1666666666666665,3.8333333333333335,2.125,2.125,4.208333333333334,0,0,0,27.75,27.75,2,1,4,4,0,0,0,3,0,0,0,NA,0,0,NA,0
bks_96,2024_r2,p2,2024-05-15,136,worker,delta_3,bare,20.083333333333332,1.8333333333333333,1.7083333333333333,3.5416666666666665,4.916666666666667,5.583333333333333,5.583333333333333,5.583333333333333,9.125,0,2.0833333333333335,0,22.166666666666664,22.166666666666664,2,1,4,4,0,0,0,4,0,0,0,NA,0,0,NA,0
bks_96,2024_r2,d,2024-05-15,136,worker,delta_3,bare,33.333333333333336,5.916666666666667,35.833333333333336,41.75,28.916666666666668,40.25,0.08333333333333333,0.08333333333333333,41.833333333333336,0,9.583333333333334,0,42.91666666666667,42.91666666666667,9,5,3,2,2,0,2,0,15,0,0,0,0,0,0,0
bks_96,2024_r3,p1,2024-06-19,171,worker,delta_3,bare,15,1.125,3.9166666666666665,5.041666666666666,7.083333333333333,19,0.7083333333333334,0.7083333333333334,5.749999999999999,0,0,0,15,15,1,1,2,2,2,0,0,0,0,0,0,NA,0,0,NA,0
bks_96,2024_r3,p2,2024-06-19,171,worker,delta_3,bare,19.583333333333332,0.9583333333333334,5.833333333333333,6.791666666666666,9.666666666666666,21.333333333333332,0.9583333333333334,0.9583333333333334,7.749999999999999,0,0,0,19.583333333333332,19.583333333333332,1,1,2,2,2,0,0,0,0,0,0,NA,0,0,NA,0
bks_96,2024_r3,d,2024-06-19,171,worker,delta_3,bare,12.5,7.916666666666667,34.666666666666664,42.58333333333333,27,44.916666666666664,0.9166666666666666,0.875,43.45833333333333,0,2.875,0,15.375,15.375,14,11,4,4,4,0,0,0,15,0,0,0,0,0,0,0
bks_96,2025_r1,p1,2025-04-09,99,nestsearching,delta_3,bare,48.666666666666664,1.8333333333333333,2.3333333333333335,4.166666666666667,3,1.9166666666666667,0,0,4.166666666666667,0,0.9166666666666666,0,49.58333333333333,49.58333333333333,1,1,2,2,0,0,0,0,0,0,0,NA,0,0,NA,0
bks_96,2025_r1,p2,2025-04-09,99,nestsearching,delta_3,bare,48.333333333333336,6.958333333333333,1.375,8.333333333333332,4.833333333333333,1.5,0,0,8.333333333333332,0.8333333333333334,0.16666666666666666,0,49.333333333333336,48.5,3,2,1,1,1,0,0,4,0,0,0,NA,0,0,NA,0
bks_96,2025_r1,d,2025-04-09,99,nestsearching,delta_3,bare,19.333333333333332,11.333333333333334,4.791666666666667,16.125,23.833333333333332,17.583333333333332,0.25,0,16.125,0,42.833333333333336,7.083333333333333,69.25,69.25,6,2,3,3,3,2,0,0,15,0,0,0,0,0,0,0
bks_96,2025_r2,p1,2025-05-01,121,nestsearching,delta_3,bare,38.75,5.541666666666667,7.25,12.791666666666668,5.416666666666667,4.916666666666667,1.375,1.375,14.166666666666668,0,0,1.5,40.25,40.25,1,1,4,4,0,0,0,0,0,0,0,NA,0,0,NA,0
bks_96,2025_r2,p2,2025-05-01,121,nestsearching,delta_3,bare,49,14.833333333333334,4.333333333333333,19.166666666666668,5.666666666666667,1.1666666666666667,9.166666666666666,9.166666666666666,28.333333333333336,0,0,1.25,50.25,50.25,2,2,4,4,0,0,0,1,0,0,0,NA,0,0,NA,0
bks_96,2025_r2,d,2025-05-01,121,nestsearching,delta_3,bare,19.583333333333332,17.583333333333332,27.166666666666668,44.75,43.75,24.416666666666668,0,0,44.75,0,27.75,0,47.33333333333333,47.33333333333333,5,0,3,0,0,2,0,0,15,0,0,0,0,0,0,0
bks_96,2025_r3,p1,2025-06-27,178,worker,delta_3,bare,37.083333333333336,7.833333333333333,7.583333333333333,15.416666666666666,10.25,13.166666666666666,0.9166666666666666,0.9166666666666666,16.333333333333332,0,1.6666666666666667,0,38.75,38.75,2,2,4,4,4,0,0,0,0,0,0,NA,0,0,NA,0
bks_96,2025_r3,p2,2025-06-27,178,worker,delta_3,bare,31.666666666666668,4.916666666666667,1.9583333333333333,6.875,12.5,8.75,0,0,6.875,0,19.583333333333332,0,51.25,51.25,1,1,3,3,3,0,0,0,0,0,0,NA,0,0,NA,0
bks_96,2025_r3,d,2025-06-27,178,worker,delta_3,bare,15,31.666666666666668,29.583333333333332,61.25,58.25,42,0,0,61.25,0,22.5,0,37.5,37.5,1,1,3,3,3,0,0,0,15,0,0,0,0,0,0,0
gwb_neaves,2024_r1,p1,2024-04-30,121,nestsearching,pittmeadows_1,grass,38.75,15.916666666666666,0.625,16.541666666666664,6.25,2.9166666666666665,12.958333333333334,12.958333333333334,29.5,20.416666666666668,7.916666666666667,0,67.08333333333334,46.666666666666664,5,4,4,4,1,3,0,0,7,5,1,0.14285714285714285,2,0,0,0
gwb_neaves,2024_r1,p2,2024-04-30,121,nestsearching,pittmeadows_1,grass,57.083333333333336,15.083333333333334,24.333333333333332,39.416666666666664,7.083333333333333,5.833333333333333,6.666666666666667,6.333333333333333,45.75,0,9.166666666666666,0,66.25,66.25,6,3,4,4,2,1,0,0,1,0,1,1,0,0,0,0
gwb_neaves,2024_r1,d,2024-04-30,121,nestsearching,pittmeadows_1,grass,23.916666666666668,7.5,15.083333333333334,22.583333333333336,18.75,19.166666666666668,0.4583333333333333,0.16666666666666666,22.750000000000004,0,33.333333333333336,0,57.25,57.25,8,3,3,2,2,2,0,0,38,0,0,0,0,0,0,0
